token,evidence_tier,mod24,band8,EULER_v3,KNOT_v3,CLIFFORD_v3,formal_certified_v3,braid_delta
11,PROVEN,-1,-1,False,False,False,False,
20,PROVEN,-1,-1,False,False,False,False,
25,PROVEN,-1,-1,False,False,False,False,
30,PROVEN,-1,-1,False,False,False,False,
3f,PROVEN,-1,-1,False,False,False,False,
4f,PROVEN,-1,-1,False,False,False,False,
60,PROVEN,-1,-1,False,False,False,False,
CATALOG_NIEMEIER_24,PROVEN,-1,-1,False,False,False,False,
CODE_GOLAY_EXTENDED,PROVEN,-1,-1,False,False,False,False,
CONSTRUCTION_A_TEMPLATE,PROVEN,-1,-1,False,False,False,False,
CONWAY_GROUPS_AUT_LEECH,PROVEN,-1,-1,False,False,False,False,
DEEPPHOLE_LEECH_23_ORBITS,PROVEN,-1,-1,False,False,False,False,
E8_ROOT_SYSTEM_240,PROVEN,-1,-1,False,False,False,False,
E8_THETA_WEIGHT4,PROVEN,-1,-1,False,False,False,False,
GROTH_SHEAF_GLUE,PROVEN,-1,-1,False,False,False,False,
HODGE_SPLIT_GRAPH,PROVEN,-1,-1,False,False,False,False,
II_25_1_LORENTZ_CUT,PROVEN,-1,-1,False,False,False,False,
KOL_MDL_DELTA,PROVEN,-1,-1,False,False,False,False,
LAMINATED_LATTICES_SEQ,PROVEN,-1,-1,False,False,False,False,
LEECH_MIN_SHELL_196560,PROVEN,-1,-1,False,False,False,False,
LEECH_NO_ROOTS_MIN4,PROVEN,-1,-1,False,False,False,False,
NOETHER_CONSERVATION,PROVEN,-1,-1,False,False,False,False,
PARITY_64BIT_LANES,PROVEN,-1,-1,False,False,False,False,
PROOF_E8_DENSEST_AM2017,PROVEN,-1,-1,False,False,False,False,
PROOF_LEECH_DENSEST_AM2017,PROVEN,-1,-1,False,False,False,False,
PROOF_UNIVERSAL_OPTIMALITY_AM2022,PROVEN,-1,-1,False,False,False,False,
SMT_GODEL_GATES,PROVEN,-1,-1,False,False,False,False,
SPECTRAL_GAP_RAYLEIGH,PROVEN,-1,-1,False,False,False,False,
TURYN_3xE8_TO_LEECH,PROVEN,-1,-1,False,False,False,False,
UQ_CONFORMAL_90COVERAGE,PROVEN,-1,-1,False,False,False,False,
WAVELET_FOURIER_SLICE,PROVEN,-1,-1,False,False,False,False,
about,PROVEN,-1,-1,False,False,False,False,
abs,PROVEN,-1,-1,False,False,False,False,
across,PROVEN,-1,-1,False,False,False,False,
act,PROVEN,-1,-1,False,False,False,False,
action,PROVEN,-1,-1,False,False,False,False,
add,PROVEN,-1,-1,False,False,False,False,
additional,PROVEN,-1,-1,False,False,False,False,
after,PROVEN,-1,-1,False,False,False,False,
also,PROVEN,-1,-1,False,False,False,False,
an,PROVEN,-1,-1,False,False,False,False,
analyze,PROVEN,-1,-1,False,False,False,False,
applications,PROVEN,-1,-1,False,False,False,False,
are,PROVEN,-1,-1,False,False,False,False,
as,PROVEN,-1,-1,False,False,False,False,
atom,PROVEN,-1,-1,False,False,False,False,
available,PROVEN,-1,-1,False,False,False,False,
ax1,PROVEN,-1,-1,False,False,False,False,
base,PROVEN,-1,-1,False,False,False,False,
baseline,PROVEN,-1,-1,False,False,False,False,
basic,PROVEN,-1,-1,False,False,False,False,
becomes,PROVEN,-1,-1,False,False,False,False,
before,PROVEN,-1,-1,False,False,False,False,
between,PROVEN,-1,-1,False,False,False,False,
bonus,PROVEN,-1,-1,False,False,False,False,
bouncing,PROVEN,-1,-1,False,False,False,False,
by,PROVEN,-1,-1,False,False,False,False,
canvas,PROVEN,-1,-1,False,False,False,False,
capacity,PROVEN,-1,-1,False,False,False,False,
cartan,PROVEN,-1,-1,False,False,False,False,
chamber,PROVEN,-1,-1,False,False,False,False,
channels,PROVEN,-1,-1,False,False,False,False,
characteristics,PROVEN,-1,-1,False,False,False,False,
chatgpt,PROVEN,-1,-1,False,False,False,False,
color,PROVEN,-1,-1,False,False,False,False,
complete,PROVEN,-1,-1,False,False,False,False,
complex,PROVEN,-1,-1,False,False,False,False,
component,PROVEN,-1,-1,False,False,False,False,
computational,PROVEN,-1,-1,False,False,False,False,
conditions,PROVEN,-1,-1,False,False,False,False,
context,PROVEN,-1,-1,False,False,False,False,
control,PROVEN,-1,-1,False,False,False,False,
copy,PROVEN,-1,-1,False,False,False,False,
could,PROVEN,-1,-1,False,False,False,False,
creative,PROVEN,-1,-1,False,False,False,False,
criteria,PROVEN,-1,-1,False,False,False,False,
critical,PROVEN,-1,-1,False,False,False,False,
database,PROVEN,-1,-1,False,False,False,False,
de,PROVEN,-1,-1,False,False,False,False,
default,PROVEN,-1,-1,False,False,False,False,
define,PROVEN,-1,-1,False,False,False,False,
dict,PROVEN,-1,-1,False,False,False,False,
discovery,PROVEN,-1,-1,False,False,False,False,
do,PROVEN,-1,-1,False,False,False,False,
documentation,PROVEN,-1,-1,False,False,False,False,
domain_context,PROVEN,-1,-1,False,False,False,False,
dtt,PROVEN,-1,-1,False,False,False,False,
due,PROVEN,-1,-1,False,False,False,False,
during,PROVEN,-1,-1,False,False,False,False,
efficiency,PROVEN,-1,-1,False,False,False,False,
empty,PROVEN,-1,-1,False,False,False,False,
enhanced,PROVEN,-1,-1,False,False,False,False,
entire,PROVEN,-1,-1,False,False,False,False,
environment,PROVEN,-1,-1,False,False,False,False,
evidence_level,PROVEN,-1,-1,False,False,False,False,
execution,PROVEN,-1,-1,False,False,False,False,
execution_time,PROVEN,-1,-1,False,False,False,False,
existing,PROVEN,-1,-1,False,False,False,False,
exploration,PROVEN,-1,-1,False,False,False,False,
exploring,PROVEN,-1,-1,False,False,False,False,
extensions,PROVEN,-1,-1,False,False,False,False,
final,PROVEN,-1,-1,False,False,False,False,
focus,PROVEN,-1,-1,False,False,False,False,
for,PROVEN,-1,-1,False,False,False,False,
form,PROVEN,-1,-1,False,False,False,False,
formula,PROVEN,-1,-1,False,False,False,False,
forward,PROVEN,-1,-1,False,False,False,False,
found,PROVEN,-1,-1,False,False,False,False,
framework,PROVEN,-1,-1,False,False,False,False,
