state_id,label_glyphs,form_tag,parity_lane,scale,pose,domain_hint,sidecars_active,octet_passes,mirror_hash,fourbit_commit,residues,status,notes
S000,♠UM≜⊗🌡️≡🜄★,leech_patch,0,2,braid,MATH,"COMMS,INFO,LIGHT,MATH,OPTICS,PLASMA,SOUND,THERMAL,TOPOLOGY",11111001,dc7771ed4dfa,0110,aliasing_edge,provisional,stable under rotation
S001,♧▲⇄🧪R⊚🝙☯B,monster_patch,0,32,weave,MATH,"COMMS,INFO,LIGHT,PLASMA,SOUND",01001111,b2643d71ae50,0101,aliasing_edge,working,ok in dry-run
S002,✪E□☸⟁R✗🜔🜂,torus_d10_doublehelix,1,4,weave,BIO_COHERENCE,"EM_FIELD,ENTROPY,GRAVITY,LIGHT,SOUND,TOPOLOGY",10101111,577b0faec693,0110,vent_timing_bias,provisional,mirror parity clean
S003,⊛🧬⊗✦⇄B📡♣A,torus_d10_singlehelix,1,8,weave,POLAR,"BIO,INFO,LIGHT,MATH,PLASMA,THERMAL",11011111,22d7c562e3f1,0111,minor_phase_error,provisional,thermal headroom tight
S004,✼🜍✸R≡△L●📡,hypercube_slice,0,2,tilt,MATH,"COMMS,COSMOS,LIGHT,PLASMA,TOPOLOGY",10111111,067a3a2a3ece,0111,vent_timing_bias,working,prefers LHCP
S005,U◆♢Z🧲🌡️≈⊗✼,torus_d10_singlehelix,0,1,rest,COSMOS,"BIO,COMMS,ENTROPY,MATH,OPTICS,PLASMA,SOUND,SPIN,TOPOLOGY",01110101,690714498940,0101,"units_guard,vent_timing_bias",provisional,stable under rotation
S006,🜔R✗Q△●🌀↺∞,torus_d10_doublehelix,1,1,rest,BIO_COHERENCE,"BIO,ENTROPY,GRAVITY,LIGHT,PLASMA",10011110,84f3a0365942,0101,"units_guard,vent_timing_bias",provisional,ok in dry-run
S007,⟡✷🝙N↕F□🎚️♣,hypercube_slice,0,32,weave,OPTICS,"ENTROPY,GRAVITY,MATH,OPTICS,PLASMA,SPIN,TOPOLOGY",10101011,5f21b2a884a8,0101,aliasing_edge,provisional,stable under rotation
S008,R🎛️∵🎚️□↕Q☘♢,torus_d10_singlehelix,0,2,weave,COSMOS,"BIO,COMMS,COSMOS,EM_FIELD,GRAVITY,SOUND",11110111,fe156b9d531c,0111,"minor_phase_error,purity_drift",working,prefers LHCP
S009,🟊⊗★🝔E◇∵B◁,monster_patch,1,16,weave,POLAR,"BIO,LIGHT,PLASMA,POLAR,SPIN",11111011,d2ef6e0ee43f,0111,none,working,ok in dry-run
S010,U🧬♣■🜃✹✻R♢,leech_patch,1,2,weave,EM_FIELD,"BIO,EM_FIELD,ENTROPY,GRAVITY,INFO,LIGHT,MATH,POLAR",00100111,dfa2da0d92d5,0100,aliasing_edge,working,needs stricter ΔT bound
S011,↻♧🜔🎚️∞ID✹▷,monster_patch,0,16,weave,OPTICS,"BIO,COSMOS,EM_FIELD,ENTROPY,GRAVITY,INFO,OPTICS,PLASMA,THERMAL,TOPOLOGY",01111111,09f5b053a352,0111,minor_phase_error,provisional,needs stricter ΔT bound
S012,⇄Y■E🧬◆↔✓🧪,hypercube_slice,0,1,weave,BIO_COHERENCE,"BIO,COMMS,COSMOS,GRAVITY,MATH,OPTICS,SOUND,THERMAL",01011011,4ce76df70eca,0101,units_guard,provisional,needs stricter ΔT bound
S013,✻⇆PQ🧪♢◆☸🝙,e8_octad,1,4,weave,COSMOS,"BIO,COMMS,COSMOS,INFO,LIGHT,OPTICS,SOUND,SPIN,TOPOLOGY",01101111,3f71f34e53eb,0110,none,working,mirror parity clean
S014,🧪☘N♦Q✼✗♬⚛️,e8_octad,0,2,braid,THERMAL,"COMMS,COSMOS,MATH,SPIN,THERMAL,TOPOLOGY",11111000,ca098ddb9a88,0101,minor_phase_error,working,stable under rotation
S015,🜁🝙▷◆≈R⊛■L,hypercube_slice,1,4,weave,THERMAL,"EM_FIELD,OPTICS,PLASMA,THERMAL,TOPOLOGY",01100111,22f656af5cd8,0101,none,provisional,thermal headroom tight
S016,∵⊗U🜃♠✺⇆🟊I,hypercube_slice,1,4,braid,POLAR,"GRAVITY,INFO,POLAR,SPIN,TOPOLOGY",01010011,8f135f09678b,0100,units_guard,provisional,ok in dry-run
