concept,section,phrase
DeltaLift,CONSTRAINTS,7) Iterate: Promote validated cards to your deck top; archive non-working slips.
DeltaLift,INPUTS,05_Stations
DeltaLift,INPUTS,1) Deal primitives: Aces = primitives. Write domain glyphs on them.
DeltaLift,INPUTS,Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.
DeltaLift,INPUTS,How to print: Print single-sided. Use card sleeves or 65lb cardstock for cards. Use transparent sheets for
DeltaLift,INPUTS,Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers
DeltaLift,INPUTS,Scene 11: Primordial→EM→Thermo: Meaning■Token Safety
DeltaLift,INPUTS, Bind tokens late; redact dangerous meaning; still keep form receipts.
DeltaLift,INPUTS, Understand stand■ins (tokens) vs. form (geometry) vs. meaning (labels).
DeltaLift,INPUTS, Use beats as a quick hot■zone detector for Δ■lifts.
DeltaLift,INPUTS,"— Deck id, card set, measurement token, 4■bit commit."
DeltaLift,LEDGER,Ledger hook (what gets recorded)
DeltaLift,OUTPUTS,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.
DeltaLift,OUTPUTS,Receipt
DeltaLift,OUTPUTS,commits.
DeltaLift,OUTPUTS,failing with hash.
DeltaLift,OUTPUTS,receipts.
DeltaLift,OUTPUTS,thresholds; and ledger reproducible 4-bit commits.
DeltaLift,OUTPUTS, Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges.
DeltaLift,OUTPUTS, Preserve minority view as Non■Working breadcrumb with hash.
DeltaLift,OUTPUTS,"— 4 receipts, shared form_id, per■rail thresholds."
DeltaLift,OUTPUTS,"— Rail receipts, meaning pack v#, anchor id."
DeltaLift,PROCESS,3) Octet overlay: Fill H1–H8 views; record REST constraints.
DeltaLift,PROCESS,4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.
DeltaLift,PROCESS,5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).
DeltaLift,PROCESS,Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix)
DeltaLift,PROCESS,Views H1–H2; runs PSF/FFT mirror; proposes
DeltaLift,PROCESS,"What this is: A complete, no-power toolkit to run CQE with paper, pens, a ruler, tape, balsa sticks, and"
DeltaLift,PROCESS,What you can do: Model multi-view problems; enforce mirror tests; perform local Δ-lifts; tighten strict
DeltaLift,PROCESS,Worksheet – Octet Overlay
DeltaLift,PROCESS,mirror) governs correctness; your labels stay provisional until committed.
DeltaLift,PROCESS,overlays.
DeltaLift,WITNESS,Debrief (2–3 prompts)
