source,target,weight,evidence_count
Notes:,Primitive/Idea: ____________________________________,408,6
Primitive/Idea: ____________________________________,Suit: ____ Rank: ____,408,6
Notes:,Suit: ____ Rank: ____,396,6
Context: ________,Value: __________ Units: ____,380,6
Token: __________,Value: __________ Units: ____,380,6
Context: ________,Hash: __________,380,6
Context: ________,Token: __________,378,6
Hash: __________,Value: __________ Units: ____,378,6
Hash: __________,Token: __________,376,6
Blank Cards (3×3),UTC 2025-09-20 21:06,153,6
Props & setup,Room,130,6
N/A,Safety,128,6
Blocking (5–15 minutes),N/A,128,6
Instruments,Safety,126,6
Instruments,Paper kit,124,6
Hand■ins (artifacts to keep),Ledger hook (what gets recorded),122,6
Debrief (2–3 prompts),Hand■ins (artifacts to keep),108,6
Blocking (5–15 minutes),Safety,96,6
Paper kit,Room,96,6
Instruments,N/A,94,6
Paper kit,Safety,90,6
Blocking (5–15 minutes),Ledger hook (what gets recorded),88,6
Paper kit,Props & setup,64,6
Props & setup,What it teaches (learning targets),62,6
Blocking (5–15 minutes),Instruments,62,6
Instruments,Room,60,6
N/A,Paper kit,58,6
Ledger hook (what gets recorded),N/A,58,6
Claim:,Local Test:,48,6
Assumptions:,Theorem Card,48,6
Counterexample? ■ Yes ■ No,Local Test:,48,6
Counterexample? ■ Yes ■ No,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,48,6
Assumptions:,Claim:,48,6
Claim:,Counterexample? ■ Yes ■ No,46,6
Assumptions:,Local Test:,46,6
Claim:,Theorem Card,46,6
Local Test:,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,46,6
Claim:,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,44,6
Debrief (2–3 prompts),Ledger hook (what gets recorded),44,6
Assumptions:,Counterexample? ■ Yes ■ No,44,6
Local Test:,Theorem Card,44,6
Assumptions:,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,42,6
Counterexample? ■ Yes ■ No,Theorem Card,42,6
Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,Theorem Card,40,6
Blank Cards (3×3),Cut lines. Use dry-erase sleeves if available.,36,6
"Construction A: p=__, code=______________, glue=________________",Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,32,6
DNA-10: ________________________________________________________,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",32,6
DNA-10: ________________________________________________________,Octet Map H1..H8: _______________________________________________,32,6
Ledger hook (what gets recorded),Safety,32,6
"Automorphism: group=________, element=________________","Construction A: p=__, code=______________, glue=________________",32,6
Blocking (5–15 minutes),Hand■ins (artifacts to keep),32,6
Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",32,6
Blank Cards (3×3),Suit: ____ Rank: ____,32,6
"Automorphism: group=________, element=________________",Octet Map H1..H8: _______________________________________________,32,6
Merkle-ish page hash / signatures,OPE FCE View Mirror,30,6
Cut lines. Use dry-erase sleeves if available.,Suit: ____ Rank: ____,30,6
4-bit Commit Stickers,OPE FCE View Mirror,30,6
Room,What it teaches (learning targets),30,6
Blank Cards (3×3),Notes:,29,6
Instruments,Props & setup,28,6
Room,Safety,28,6
Blocking (5–15 minutes),Paper kit,28,6
Debrief (2–3 prompts),What it teaches (learning targets),25,6
Cut lines. Use dry-erase sleeves if available.,UTC 2025-09-20 21:06,24,6
Blank Cards (3×3),Primitive/Idea: ____________________________________,24,6
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,24,6
"Automorphism: group=________, element=________________",Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,24,6
"Construction A: p=__, code=______________, glue=________________",Octet Map H1..H8: _______________________________________________,24,6
Octet Map H1..H8: _______________________________________________,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",24,6
DNA-10: ________________________________________________________,Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,24,6
"Automorphism: group=________, element=________________",DNA-10: ________________________________________________________,24,6
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,Octet Map H1..H8: _______________________________________________,22,6
"Automorphism: group=________, element=________________","Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",22,6
"Construction A: p=__, code=______________, glue=________________",DNA-10: ________________________________________________________,22,6
Octet Map H1..H8: _______________________________________________,Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,22,6
DNA-10: ________________________________________________________,Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,20,6
"Construction A: p=__, code=______________, glue=________________","Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",20,6
"Automorphism: group=________, element=________________",Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,20,6
Receipts & 4-bit,UTC 2025-09-20 21:06,19,6
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",18,6
Cut lines. Use dry-erase sleeves if available.,Primitive/Idea: ____________________________________,18,6
OPE FCE View Mirror,OPE/FCE  View  Mirror  Hash,18,6
"Construction A: p=__, code=______________, glue=________________",Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,18,6
Suit: ____ Rank: ____,UTC 2025-09-20 21:06,17,6
Primitive/Idea: ____________________________________,UTC 2025-09-20 21:06,16,6
Master Ledger,UTC 2025-09-20 21:06,15,6
Eight Baseline Packs,UTC 2025-09-20 21:06,15,6
Notes:,UTC 2025-09-20 21:06,15,6
8-Person Table Playbook,UTC 2025-09-20 21:06,15,6
Class Kit Checklist,UTC 2025-09-20 21:06,15,6
Quick Start,UTC 2025-09-20 21:06,15,6
4-bit Commit Stickers,OPE/FCE  View  Mirror  Hash,12,6
Receipts & 4-bit Commit,UTC 2025-09-20 21:06,12,6
Cut lines. Use dry-erase sleeves if available.,Notes:,12,6
OPE/FCE  View  Mirror  Hash,Receipts & 4-bit Commit,11,6
Ledger hook (what gets recorded),"— Pose, hub ids, mid■slice tags, 4■bit example.",10,6
Ledger hook (what gets recorded),"— Tone pair, beat freq, Δ■lift, receipt.",10,6
Hand■ins (artifacts to keep),"— Tone pair, beat freq, Δ■lift, receipt.",10,6
Ledger hook (what gets recorded),faces.,10,6
Ledger hook (what gets recorded),"— Blue/red pair id, hashes, receipts.",10,6
Hand■ins (artifacts to keep),"— Blue/red pair id, hashes, receipts.",10,6
Debrief (2–3 prompts),"✓ Blue packet, red sealed packet.",10,6
Hand■ins (artifacts to keep),"✓ Before/after overlay with red fix marks, 4■bit row.",10,6
Hand■ins (artifacts to keep),"— Pose, hub ids, mid■slice tags, 4■bit example.",10,6
Ledger hook (what gets recorded),"— Deck id, card set, measurement token, 4■bit commit.",10,6
Hand■ins (artifacts to keep),"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.",10,6
Metric,Pre,10,6
Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,Ledger hook (what gets recorded),10,6
Ledger hook (what gets recorded),"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.",10,6
Hand■ins (artifacts to keep),✓ 3 receipts; promoted pack doc; anchor ledger row.,10,6
Post,Pre,10,6
Debrief (2–3 prompts),"✓ Before/after overlay with red fix marks, 4■bit row.",10,6
Post,Δ,10,6
Metric,rejoin table play.,10,6
Hand■ins (artifacts to keep),"— Deck id, card set, measurement token, 4■bit commit.",10,6
Hand■ins (artifacts to keep),"✓ Card photo, metric sheet, ledger.",10,6
Eight Baseline Packs,Optics  Thermal  Polar/Spin/EM  Math/Logic  Bio  Neuro  Cosmos  Systems,10,6
Ledger hook (what gets recorded),log a 4■bit after retune.,10,6
Hand■ins (artifacts to keep),"— Rail receipts, meaning pack v#, anchor id.",10,6
Hand■ins (artifacts to keep),"✓ Blue packet, red sealed packet.",10,6
Ledger hook (what gets recorded),"— Rail receipts, meaning pack v#, anchor id.",10,6
Hand■ins (artifacts to keep),"✓ Assembled model photos, notes, ledger.",10,6
Hand■ins (artifacts to keep),"✓ Card stack, mirror sheet, ledger snippet.",10,6
Hand■ins (artifacts to keep),"✓ Spectrogram sheet, receipt.",10,6
5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,10,6
Ledger hook (what gets recorded),receipts.,10,6
Ledger hook (what gets recorded),"— 4 receipts, shared form_id, per■rail thresholds.",10,6
Ledger hook (what gets recorded),"— Stand■in map, redaction count, hash■only attachments.",10,6
Hand■ins (artifacts to keep),"— 4 receipts, shared form_id, per■rail thresholds.",10,6
Hand■ins (artifacts to keep),"— Stand■in map, redaction count, hash■only attachments.",10,6
Hand■ins (artifacts to keep),✓ 4 station sheets; master ledger row.,10,6
Hand■ins (artifacts to keep),"✓ Redacted ledger row, safe receipts.",10,6
Props & setup, Why the octad is discovered (not assumed) and how it governs later structure.,10,6
Hand■ins (artifacts to keep),"— Falsifier ids (F1–F4), outcomes, receipts.",10,6
Ledger hook (what gets recorded),"— Falsifier ids (F1–F4), outcomes, receipts.",10,6
6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,7) Iterate: Promote validated cards to your deck top; archive non-working slips.,10,6
4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).,10,6
Ledger hook (what gets recorded),"— Seat map, cycle count, debt burn, commits.",10,6
3) Octet overlay: Fill H1–H8 views; record REST constraints.,4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,10,6
Debrief (2–3 prompts),✓ 4 station sheets; master ledger row.,10,6
10-minute run with two decks + overlays,Quick Start,10,6
Ledger hook (what gets recorded),accordingly; compare debt drop.,10,6
Ledger hook (what gets recorded),failing with hash.,10,6
Ledger hook (what gets recorded),"— Viewer indices, hotspot ids, Δ■lift chosen, receipts.",10,6
Hand■ins (artifacts to keep),"— Viewer indices, hotspot ids, Δ■lift chosen, receipts.",10,6
Ledger hook (what gets recorded),"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.",10,6
License: CC-BY 4.0  Generated 2025-09-20,overlays.,10,6
Hand■ins (artifacts to keep),"✓ Viewer overlays, ledger row.",10,6
Hand■ins (artifacts to keep),"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.",10,6
"Grid board (4×4), parity markers.",Room,10,6
Peg grid (8×8). Mark parity lanes and half-glue ticks.,steps.,10,6
Debrief (2–3 prompts),"✓ Coord board photo, ledger rows.",10,6
Hand■ins (artifacts to keep),"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",10,6
Debrief (2–3 prompts),"✓ Counterexample log, ledger.",10,6
Hand■ins (artifacts to keep),"✓ Counterexample log, ledger.",10,6
Ledger hook (what gets recorded),meaning pack; promote anchor.,10,6
Budget-friendly supply list,Class Kit Checklist,10,6
Debrief (2–3 prompts),"✓ Checked grid, class map (8), receipt.",10,6
8-Person Table Playbook,Roles  Stations  Neighbor links,10,6
Hand■ins (artifacts to keep),"✓ Checked grid, class map (8), receipt.",10,6
Hand■ins (artifacts to keep),"✓ Coord board photo, ledger rows.",10,6
Ledger hook (what gets recorded),"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.",10,6
Master Ledger,Reproducible build receipts,10,6
Hand■ins (artifacts to keep),"— Seat map, cycle count, debt burn, commits.",10,6
Sticky Sidecars,UTC 2025-09-20 21:06,9,6
Blank Cards (3×3),Page 15,9,6
Full Idea (9):,Views,9,6
inequivalent insertions., Why the octad is discovered (not assumed) and how it governs later structure.,9,6
Blank Cards (3×3),Page 16,9,6
4-bit Commit Stickers,Receipts & 4-bit Commit,9,6
Blank Cards (3×3),Page 17,9,6
OPE FCE View Mirror,UTC 2025-09-20 21:06,9,6
List per suit or view Views,Views,9,6
OPE FCE View Mirror,Receipts & 4-bit Commit,9,6
Props & setup, Preserve minority view as Non■Working breadcrumb with hash.,8,6
Paper kit,Three stations; octet master; metrics per rail.,8,6
Theorem Cards,UTC 2025-09-20 21:06,8,6
Room,Three stations; octet master; metrics per rail.,8,6
Blocking (5–15 minutes),meaning pack; promote anchor.,8,6
Room,"Theorem cards, claim wall, mirror worksheet.",8,6
Paper kit,"Theorem cards, claim wall, mirror worksheet.",8,6
Props & setup, Show that form stays fixed while semantics swap.,8,6
Debrief (2–3 prompts),■ Which rail constrained the others? Why?,8,6
Blocking (5–15 minutes),failing with hash.,8,6
failing with hash.,"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.",8,6
Debrief (2–3 prompts),■ Which 4 were necessary and sufficient?,8,6
Closed-loop error; safety ratchets.,Neighbor Links (who talks to whom and when),8,6
Props & setup, Visualize 8■twine E8 and 24■twine Leech masks with octads.,8,6
Attach measured values to cards,Token: __________,8,6
8. Systems/Robotics,Closed-loop error; safety ratchets.,8,6
8. Systems/Robotics,Shear/field rails; anomaly notes.,8,6
"— Claim ids, mirror pass/fail, Δ■lift ids, receipts.","✓ Card stack, mirror sheet, ledger snippet.",8,6
Assumptions  Claim  Local Test  Counterexample,Theorem Card,8,6
"Foam board, pegs, 8 & 24 strings, clip set.",Room,8,6
meaning pack; promote anchor.,"— Rail receipts, meaning pack v#, anchor id.",8,6
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,Reproducible build receipts,8,6
Hypercube → Toroidal Loom,UTC 2025-09-20 21:06,8,6
4 stations; shared octet; sticky token labels.,Paper kit,8,6
