token,tag
Scene 0 — Orientation: The CQE Spine Live,scene
Scene 1 — n=1→n=5: The Hinge that Forces the Octad,scene
Scene 2 — Mirror & Δ■Lift Clinic (Bug■to■Fix),scene
Scene 3 — Octet Coverage for ML (A/B→Octet),scene
Scene 4 — Construction■A Loom: E8 and Leech on Paper,scene
Scene 5 — Sidecar Sprint: 4 Rails in 20 Minutes,scene
Scene 6 — Two■Scientist Theorem■Card Resolution,scene
Scene 7 — 8■Person Table with Neighbor Lanes,scene
Scene 8 — Card■Deck CQE + Lab Stations,scene
Scene 9 — Hypercube→Toroidal Chamber (4■bit Hubs),scene
Scene 10 — Sound & Subharmonics Viewer (Cartan,scene
Scene 11 — Primordial→EM→Thermo: Meaning■Token Safety,scene
Scene 12 — Global Viewers: 8×8 + 4×4×4×4 + Parity Shell,scene
Scene 13 — Not Lattice Flattery: Governance by Geometry,scene
"Scene 14 — Sandbox Red/Blue: Safety, Redaction, Receipts",scene
"Scene 15 — Capstone: Three■Track Non■Toy (Optics, DNA,",scene
"Bio/Neuro proxies (overlay RMS), Cosmos (shear/field), Robotics (closed-loop error).",station
Metric,station
Pause cards → test → sticky sidecar → continue,station
Post,station
Pre,station
Protocol: Dock a card; measure; write a token value on a sticky; attach to card edge; ledger the change;,station
"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),",station
"Stations: Measure, Tag, Resume",station
UTC 2025-09-20 21:06,station
rejoin table play.,station
4-bit Commit,view
Full Idea (9):,view
Jokers:subharmonic / Cartan bridges,view
Local repairs + rationale,view
"Mirror Evidence:metrics, plots, checksumsViews Exercised:1 2 3 4 5 6 7 8",view
Observers (J/Q/K):metrics / view priority / strictness -lifts:,view
P M,view
Parity Twin (10):,view
SPage Hash / Status:hash  WORKING / NON-WORKING / PROVISIONAL,view
Strict Bounds:list tightened thresholds (old new),view
-lifts:,other
4-bit Commit,other
4-bit Commit Stickers,other
8-Person Table Playbook,other
Assumptions:,other
Attach measured values to cards,other
Bio proxy,other
Budget-friendly supply list,other
CQE Card Kit (Paper-Only),other
CQE Card Mat  Full Desk,other
CQE Card Mini-Mat  Travel,other
CQE Ledger Template,other
Claim:,other
Class Kit Checklist,other
Combined Rail Workspace,other
Cosmos,other
Custom pack notes,other
Eight Baseline Packs,other
Finance),other
Full Idea (9):,other
How to use this pack,other
Hypercube Scaffold,other
Instruments,other
Jokers:subharmonic / Cartan bridges,other
Ledger hook (what gets recorded),other
Local Test:,other
Local repair notes4-bit Commit,other
Local repairs + rationale,other
Master Ledger,other
Math/Logic,other
Merkle-ish page hash / signatures,other
Metric,other
N/A,other
Neuro proxy,other
Notes:,other
OPE FCE View Mirror,other
Octet Map (2 8):,other
Octet Overlay + DNA-10,other
Optics,other
P M,other
Page 1,other
Page 10,other
Page 11,other
Page 12,other
Page 13,other
Page 14,other
Page 15,other
Page 16,other
Page 17,other
Page 18,other
Page 19,other
Page 2,other
Page 3,other
Page 4,other
Page 5,other
Page 6,other
Page 7,other
Page 8,other
Page 9,other
Paper kit,other
Parity Loom,other
Parity Loom (E8/Leech scaffold),other
Parity Twin (10):,other
Polar/Spin/EM,other
Post,other
Pre,other
Primitives (Aces):,other
Receipt,other
Reproducible build receipts,other
Room,other
SHash:,other
SReceipts:,other
Safety,other
Stations,other
"Stations: Measure, Tag, Resume",other
Sticky Sidecars,other
Sticky Sidecars (Tokens),other
Systems,other
Theorem Card,other
Theorem Cards,other
Thermal,other
UTC 2025-09-20 21:06,other
Views,other
What it teaches (learning targets),other
hash/date,other
metrics,other
views run,other
