token,source_file
Octet & DNA-10,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf
Octet Overlay + DNA-10,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf
"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),",extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf
"Overlay RMS, gate irreversibility.",extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf
Theorem Cards,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf
Theorem Cards & Argument Protocol,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf
Theorem Card,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf
Octet Map H1..H8: _______________________________________________,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf
Scene 0: Orientation: The CQE Spine Live,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_00.pdf
"Octet sheet, DNA■10, 4■bit sticker, ledger page.",extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_00.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_00.pdf
Scene 1: n=1→n=5: The Hinge that Forces the Octad,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_01.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_01.pdf
Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_02.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_02.pdf
Scene 3: Octet Coverage for ML (A/B→Octet),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_03.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_03.pdf
Scene 4: Construction■A Loom: E8 and Leech on Paper,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_04.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_04.pdf
Scene 5: Sidecar Sprint: 4 Rails in 20 Minutes,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_05.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_05.pdf
Scene 6: Two■Scientist Theorem■Card Resolution,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_06.pdf
"Theorem cards, claim wall, mirror worksheet.",extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_06.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_06.pdf
Scene 7: 8■Person Table with Neighbor Lanes,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_07.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_07.pdf
Scene 8: Card■Deck CQE + Lab Stations,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_08.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_08.pdf
Scene 9: Hypercube→Toroidal Chamber (4■bit Hubs),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_09.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_09.pdf
Scene 10: Sound & Subharmonics Viewer (Cartan,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_10.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_10.pdf
Scene 11: Primordial→EM→Thermo: Meaning■Token Safety,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_11.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_11.pdf
Scene 12: Global Viewers: 8×8 + 4×4×4×4 + Parity Shell,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_12.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_12.pdf
Scene 13: Not Lattice Flattery: Governance by Geometry,extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_13.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_13.pdf
"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts",extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_14.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_14.pdf
"Scene 15: Capstone: Three■Track Non■Toy (Optics, DNA,",extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_15.pdf
Ledger hook (what gets recorded),extracted/CQE_Roleplay_Scenes_v1_0_Sheets/Scene_15.pdf
Octet & DNA-10,CQE_Card_Kit_v1_2_Master.pdf
Octet Overlay + DNA-10,CQE_Card_Kit_v1_2_Master.pdf
"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),",CQE_Card_Kit_v1_2_Master.pdf
mirror) governs correctness; your labels stay provisional until committed.,CQE_Roleplay_Scenes_v1_0_Master.pdf
Scene 0: Orientation: The CQE Spine Live,CQE_Roleplay_Scenes_v1_0_Master.pdf
"Octet sheet, DNA■10, 4■bit sticker, ledger page.",CQE_Roleplay_Scenes_v1_0_Master.pdf
Ledger hook (what gets recorded),CQE_Roleplay_Scenes_v1_0_Master.pdf
Scene 1: n=1→n=5: The Hinge that Forces the Octad,CQE_Roleplay_Scenes_v1_0_Master.pdf
Scene 2: Mirror & Δ■Lift Clinic (Bug■to■Fix),CQE_Roleplay_Scenes_v1_0_Master.pdf
Scene 3: Octet Coverage for ML (A/B→Octet),CQE_Roleplay_Scenes_v1_0_Master.pdf
Scene 4: Construction■A Loom: E8 and Leech on Paper,CQE_Roleplay_Scenes_v1_0_Master.pdf
